Country,GDP,Life_Expectancy,Continent
Saint Vincent and the Grenadines,"$825,385,185 ",72.4,North America
Samoa,"$850,655,017 ",73.2,Oceania
Saudi Arabia,"$792,966,838,162 ",75,Asia
Senegal,"$23,578,084,052 ",67.7,Africa
Serbia,"$51,409,167,351 ",75.5,Europe
Sierra Leone,"$3,941,474,311 ",54.3,Africa
Singapore,"$372,062,527,489 ",83.1,Asia
Slovakia,"$105,422,304,976 ",77.2,Europe
Slovenia,"$53,742,159,517 ",81,Europe
South Africa,"$351,431,649,241 ",63.9,Africa
South Korea,"$2,029,000,000,000 ",82.6,Asia
Spain,"$1,394,116,310,769 ",83.3,Europe
Sri Lanka,"$84,008,783,756 ",76.8,Asia
Sudan,"$18,902,284,476 ",65.1,Africa
Suriname,"$3,985,250,737 ",71.6,South America
Sweden,"$530,832,908,738 ",82.5,Europe
Switzerland,"$703,082,435,360 ",83.6,Europe
Syria,"$40,405,006,007 ",71.8,Asia
Tajikistan,"$8,116,626,794 ",70.9,Asia
Tanzania,"$63,177,068,175 ",65,Africa
Thailand,"$543,649,976,166 ",76.9,Asia
Timor-Leste,"$1,673,540,300 ",69.3,Asia
Togo,"$5,459,979,417 ",60.8,Africa
Tonga,"$450,353,314 ",70.8,Oceania
Trinidad and Tobago,"$24,100,202,834 ",73.4,South America
Tunisia,"$38,797,709,924 ",76.5,Africa
Turkey,"$754,411,708,203 ",77.4,Asia
Uganda,"$34,387,229,486 ",63,Africa
Ukraine,"$153,781,069,118 ",71.6,Europe
United Arab Emirates,"$421,142,267,938 ",77.8,Asia
United Kingdom,"$2,827,113,184,696 ",81.3,Europe
United States of America,"$21,427,700,000,000 ",78.5,North America
Uruguay,"$56,045,912,952 ",77.8,South America
Vanuatu,"$917,058,851 ",70.3,Oceania
Venezuela,"$482,359,318,768 ",72.1,South America
Vietnam,"$261,921,244,843 ",75.3,Asia
Yemen,"$26,914,402,224 ",66.1,Asia
Zambia,"$23,064,722,446 ",63.5,Africa
Zimbabwe,"$21,440,758,800 ",61.2,Africa
